"Id","Sales"
1,4990
2,7892
3,10900
4,7750
5,7830
6,6326
7,8518
8,8477
9,5844
10,5478
11,7871
12,9349
13,7548
14,9343
15,6631
16,5443
17,6181
18,10426
19,11942
20,9847
21,7687
22,4706
23,6328
24,5068
25,8824
26,11026
27,11691
28,6258
29,5454
30,4890
31,6586
32,10686
33,6795
34,5976
35,6450
36,7970
37,3578
38,8106
39,4951
40,8128
41,7642
42,6101
43,8853
44,7942
45,5732
46,6754
47,8497
48,11884
49,7183
50,9596
51,7746
52,10274
53,7370
54,10015
55,5121
56,5155
57,6748
58,6568
59,9996
60,8595
61,6482
62,8737
63,7949
64,9570
65,3727
66,13812
67,4789
68,6673
69,8970
70,5716
71,6912
72,6402
73,7726
74,5885
75,6276
76,8896
77,8584
78,7586
79,5777
80,7901
81,13272
82,6881
83,4743
84,7786
85,6505
86,6705
87,8282
88,4180
89,8830
90,6305
91,7823
92,10252
93,4368
94,5967
95,6131
96,8911
97,10139
98,5698
99,5259
100,8490
101,6725
102,6596
103,8802
104,7413
105,8908
106,6182
107,4849
108,7097
109,8557
110,9332
111,8961
112,8438
113,6318
114,10070
115,6129
116,7437
117,9949
118,7448
119,9975
120,8970
121,8439
122,6533
123,7391
124,8906
125,7436
126,4425
127,6079
128,8697
129,6544
130,4407
131,8411
132,7480
133,6718
134,6515
135,5725
136,8000
137,7898
138,7354
139,6073
140,5564
141,7063
142,4475
143,6455
144,5975
145,9819
146,8829
147,7368
148,14038
149,5764
150,5963
151,11023
152,7510
153,9418
154,8065
155,5900
156,7020
157,6341
158,8133
159,12112
160,7984
161,3582
162,5173
163,9479
164,9412
165,7232
166,7474
167,5372
168,5495
169,3265
170,5539
171,6695
172,8200
173,7694
174,6901
175,8508
176,10360
177,8494
178,5645
179,10965
180,11484
181,6358
182,8737
183,5617
184,6702
185,4592
186,7937
187,5439
188,10370
189,7763
190,9660
191,8776
192,5965
193,9836
194,20158
195,11468
196,6211
197,3311
198,6789
199,8847
200,6519
201,13879
202,20114
203,4519
204,6014
205,10489
206,5371
207,10108
208,7256
209,8137
210,6234
211,7277
212,6958
213,7721
214,10805
215,6834
216,6611
217,8155
218,6002
219,5559
220,8716
221,6341
222,6674
223,6660
224,7397
225,6740
226,8249
227,8115
228,9408
229,8813
230,8581
231,5927
232,4120
233,7079
234,7803
235,6805
236,5344
237,9950
238,8059
239,9248
240,7813
241,6249
242,5759
243,4606
244,10926
245,5986
246,8286
247,16003
248,8191
249,8423
250,6051
251,4427
252,7548
253,4209
254,6409
255,11428
256,5956
257,16211
258,15771
259,5983
260,7787
261,5764
262,7191
263,5978
264,12412
265,7789
266,10570
267,5141
268,7596
269,5640
270,9355
271,7647
272,6835
273,7095
274,7250
275,8779
276,10098
277,6812
278,10479
279,7330
280,10185
281,5708
282,6123
283,5756
284,11766
285,7200
286,8548
287,7495
288,9715
289,5018
290,9305
291,7089
292,4564
293,15303
294,19040
295,7885
296,7699
297,10714
298,10973
299,12111
300,5882
301,6860
302,6323
303,9544
304,3812
305,6078
306,6325
307,6607
308,8059
309,6220
310,5095
311,7985
